asset_id,location,category,experiment_id,path,purpose,cases,files,links,size_bytes,first_mtime,last_mtime,observed_completeness,checksum_strategy,classification
cmrx23-lax10-results,server-main,results,cmrx23-lax10-acc8-official,/home/students/studxuzho1/NV-Raw2insights-MRI/ResultsCMRxRecon2023CINELAX10Acc8Official,CMRxRecon2023 LAX10 official acc8 evaluation,10,23,0,111844362,2026-07-16T10:34:42,2026-07-16T10:35:39,metrics CSV and comparison outputs,hash configs CSV and GT MAT,completed
fastmri-results-acc8,server-main,results,fastmri-brain-val10-acc8,/home/students/studxuzho1/NV-Raw2insights-MRI/Results/FastMRIBrainMulticoilVal10Acc8,fastMRI val10 acc8 evaluation,10,24,0,64941556,2026-07-19T21:11:43,2026-07-19T21:12:09,CSV GT MAT and PNG complete,hash CSV and GT MAT,completed
fastmri-results-acc16,server-main,results,fastmri-brain-val10-acc16,/home/students/studxuzho1/NV-Raw2insights-MRI/Results/FastMRIBrainMulticoilVal10Acc16,fastMRI val10 acc16 evaluation,10,24,0,64702699,2026-07-19T22:03:56,2026-07-19T22:04:23,CSV GT MAT and PNG complete,hash CSV and GT MAT,completed
fastmri-results-acc24,server-main,results,fastmri-brain-val10-acc24,/home/students/studxuzho1/NV-Raw2insights-MRI/Results/FastMRIBrainMulticoilVal10Acc24,fastMRI val10 acc24 evaluation,10,24,0,64510679,2026-07-19T22:56:49,2026-07-19T22:57:10,CSV GT MAT and PNG complete,hash CSV and GT MAT,completed
sdum-001,server-cmrx,run,sdum-001,/home/students/studxuzho1/NV-Raw2insights-MRI-cmrxrecon/runs/sdum-001,CMRxRecon2024 mixed-acquisition Uniform8 subset run,15,40,0,4286975,2026-08-10T21:39:30,2026-08-13T13:59:04,15 recon and preview; no metrics summary,hash manifest config and MAT before archive,incomplete
sdum-002,server-cmrx,run,sdum-002,/home/students/studxuzho1/NV-Raw2insights-MRI-cmrxrecon/runs/sdum-002,CMRxRecon2023 LAX15 official acc8 run,15,115,0,177662755,2026-08-11T14:31:32,2026-08-13T13:59:08,outputs and GT present; no metrics summary,hash manifest config masks and summaries,incomplete
sdum-003,server-cmrx,run,sdum-003,/home/students/studxuzho1/NV-Raw2insights-MRI-cmrxrecon/runs/sdum-003,CMRxRecon2023 LAX15 official AccFactor04 with ktRadial8 conditioning,15,100,0,14351122,2026-08-12T15:40:00,2026-08-13T13:59:13,paired ranking summary present,hash manifest config masks and summaries,completed
sdum-004,server-cmrx,run,sdum-004,/home/students/studxuzho1/NV-Raw2insights-MRI-cmrxrecon/runs/sdum-004,CMRxRecon2023 LAX15 official acc8 with Uniform8 conditioning,15,105,1,347025652,2026-08-13T06:11:43,2026-08-13T13:59:17,full direct summary present,hash manifest config masks and summaries,completed
sdum-005,server-cmrx,run,sdum-005,/home/students/studxuzho1/NV-Raw2insights-MRI-cmrxrecon/runs/sdum-005,CMRxRecon2023 LAX15 official acc8 with Uniform16 conditioning,15,105,1,347025039,2026-08-13T06:11:43,2026-08-13T13:59:21,full direct summary present,hash manifest config masks and summaries,completed
sdum-006,server-cmrx,run,sdum-006,/home/students/studxuzho1/NV-Raw2insights-MRI-cmrxrecon/runs/sdum-006,CMRxRecon2023 LAX15 official acc8 with Uniform24 conditioning,15,69,1,179830954,2026-08-13T06:49:45,2026-08-13T15:06:19,full and ranking outputs; no metrics summary,hash manifest config masks and summaries,incomplete
sdum-007,server-main,run,sdum-007,/home/students/studxuzho1/NV-Raw2insights-MRI/runs/sdum-007,CINE 10-case static random Cartesian acc8 no forced ACS,10,41,0,419473834,2026-08-18T17:09:27,2026-08-18T21:14:14,10 recon plus debug and masks; no metrics summary,hash manifest config masks and summaries,incomplete
sdum-008,server-cmrx,run,sdum-008,/home/students/studxuzho1/NV-Raw2insights-MRI-cmrxrecon/runs/sdum-008,CMRxRecon2023 LAX15 generated Uniform8 with 20 ACS,15,111,1,357723496,2026-08-23T02:18:04,2026-08-23T04:59:03,full direct summary present,hash manifest config masks and summaries,completed
sdum-008-debug,server-cmrx,run,sdum-008-debug,/home/students/studxuzho1/NV-Raw2insights-MRI-cmrxrecon/runs/sdum-008-debug,One-case SDUM-008 preparation debug,1,3,0,23702,2026-08-23T02:14:31,2026-08-23T02:14:31,one mask and descriptor; no evaluation,hash all files,legacy
sdum-009,server-cmrx,run,sdum-009,/home/students/studxuzho1/NV-Raw2insights-MRI-cmrxrecon/runs/sdum-009,CMRxRecon2023 LAX15 generated ktGaussian8 with 20 ACS,15,105,1,359308041,2026-08-23T03:13:05,2026-08-23T06:30:32,full direct summary present,hash manifest config masks and summaries,completed
sdum-010,server-cmrx,run,sdum-010,/home/students/studxuzho1/NV-Raw2insights-MRI-cmrxrecon/runs/sdum-010,CMRxRecon2023 LAX15 generated ktRadial8 with 20 ACS,15,135,1,375423411,2026-08-23T05:41:06,2026-08-24T11:31:29,full direct summary present,hash manifest config masks and summaries,completed
sdum-011,server-cmrx,run,sdum-011,/home/students/studxuzho1/NV-Raw2insights-MRI-cmrxrecon/runs/sdum-011,CMRxRecon2023 LAX15 generated Uniform16 with 20 ACS,15,101,1,357182924,2026-08-23T06:51:11,2026-08-24T09:05:33,full direct summary present,hash manifest config masks and summaries,completed
sdum-012,server-cmrx,run,sdum-012,/home/students/studxuzho1/NV-Raw2insights-MRI-cmrxrecon/runs/sdum-012,CMRxRecon2023 LAX15 generated ktGaussian16 with 20 ACS,15,101,1,358433465,2026-08-23T06:51:13,2026-08-24T09:07:51,full direct summary present,hash manifest config masks and summaries,completed
sdum-013,server-cmrx,run,sdum-013,/home/students/studxuzho1/NV-Raw2insights-MRI-cmrxrecon/runs/sdum-013,CMRxRecon2023 LAX15 generated ktRadial16 with 20 ACS,15,101,1,358126181,2026-08-23T06:51:18,2026-08-24T09:09:31,full direct summary present,hash manifest config masks and summaries,completed
cmrx24-sdum001-derived,server-home,dataset,sdum-001,/home/students/studxuzho1/datasets/CMRxRecon2024/sdum-001,CMRxRecon2024 15-case derived k-space and masks,15,30,0,1038029741,2026-08-10T21:34:42,2026-08-10T21:38:51,30 paired MAT files,hash all MAT before move,incomplete
dataset-v0,server-home,legacy-dataset,legacy-v0,/home/students/studxuzho1/dataset_v0,Early CINE conversion inputs multi-acc variants and 134 normalized GT NPY,,197,1,42806918105,2026-05-20T22:31:29,2026-06-08T14:10:50,includes irreplaceable norm_img provenance,size+mtime+shape now; SHA256 before move,legacy
dataset-v1,server-home,legacy-dataset,legacy-v1,/home/students/studxuzho1/dataset_v1,Five-case derived input output and previews,5,99,0,3836214156,2026-06-10T21:03:44,2026-06-11T12:39:52,5 JSON and output MAT present,size+mtime+shape now; SHA256 before move,legacy
archive-datasets,server-main,archive,legacy-archive-datasets,/home/students/studxuzho1/NV-Raw2insights-MRI/archive/datasets,Historical CINE1 CustomCINE and GT datasets,,167,50,13117004407,2026-06-15T21:06:20,2026-06-24T23:21:52,parent inventory complete; child classification pending,promote child to own row then SHA256 before move,legacy
archive-outputs,server-main,archive,legacy-archive-outputs,/home/students/studxuzho1/NV-Raw2insights-MRI/archive/outputs,Historical CINE1 CustomCINE and qualitative outputs,,253,0,2904749816,2026-06-15T21:06:20,2026-06-25T17:50:53,parent inventory complete; child classification pending,promote child to own row then SHA256 manifest,legacy
failure-runs,server-home,provenance,legacy-conversion-failures,/home/students/studxuzho1/failure_runs,Early conversion scripts repair utilities and log,,10,0,110733,2026-05-20T22:26:00,2026-06-03T13:28:43,provenance only; relevance pending,hash all files,legacy
hf-cache-explicit,server-home,model-cache,nv-checkpoints,/home/students/studxuzho1/hf_cache/hub/models--nvidia--NV-Raw2insights-MRI,Explicit HF cache containing Base and Small checkpoints,,4,3,3949689268,2026-06-03T07:18:40,2026-08-20T01:33:42,snapshot 38860e9; Base and Small present,verify blob IDs and snapshot,active
hf-cache-default,server-home,model-cache,nv-checkpoints,/home/students/studxuzho1/.cache/huggingface/hub/models--nvidia--NV-Raw2insights-MRI,Default HF cache containing duplicate Base and unique Large,,4,3,8776990152,2026-05-20T21:47:11,2026-05-20T22:03:35,snapshot 38860e9; Base and Large present,verify blob IDs and snapshot,active
external-cine-h5,external-raw,source,cine-raw,/mnt/qdata/rawdata/CINE/2D_h5_compressed,Read-only CINE source H5,,,,,,,not measured; external read-only,record selected case size mtime and SHA256,active
external-vista-masks,external-raw,source,cine-vista-masks,/home/students/studxusiy1/mr_recon/masks,Read-only VISTA TXT mask source,,,,,,,not measured; external read-only,hash selected TXT masks,active
external-cmrx23,external-raw,source,cmrxrecon2023-training,/mnt/ceph/vol_06_rawdata_01/CMRxRecon/CMRxRecon_2023_training_init/ChallengeData/MultiCoil/CINE/TrainingSet,Read-only CMRxRecon2023 training source,,,,,,,not measured; external read-only,manifest selected cases and source metadata,active
external-fastmri-brain,external-raw,source,fastmri-brain-multicoil-val,/mnt/ceph/vol_12_rawdata_fastMRI/fastMRI/brain/multicoil_val,Read-only fastMRI brain multicoil validation source,,,,,,,not measured; external read-only,manifest selected files and source metadata,active
dataset-small-archiv,server-main,legacy-dataset,legacy-descriptors,/home/students/studxuzho1/NV-Raw2insights-MRI/dataset/archiv,Small historical descriptor and MAT collection,,11,0,4375,2026-07-12T07:26:22,2026-07-15T22:36:58,historical mixed files,hash all files before consolidation,legacy
fastmri-debug-output-geomfix,server-main,debug-output,fastmri-geometry-debug,/home/students/studxuzho1/NV-Raw2insights-MRI/output/FastMRIBrainMulticoilValGeomFixDebugAcc8,Early fastMRI geometry-fix debug output,,2,0,6590512,2026-07-20T16:04:22,2026-07-20T16:08:42,superseded debug output,hash config and MAT if retained,legacy
fastmri-debug-output-slicewindow,server-main,debug-output,fastmri-slice-window-debug,/home/students/studxuzho1/NV-Raw2insights-MRI/output/FastMRIBrainMulticoilValGeomFixSliceWindowDebugAcc8,fastMRI slice-window debug output,,3,0,13144374,2026-07-20T17:34:55,2026-07-20T18:52:42,superseded debug output,hash config and MAT if retained,legacy
fastmri-debug-output-harddc,server-main,debug-output,fastmri-harddc-debug,/home/students/studxuzho1/NV-Raw2insights-MRI/output/FastMRIBrainMulticoilValGeomFixSliceWindowHardDCDebugAcc8,fastMRI hard-DC debug output,,2,0,6590564,2026-07-21T06:51:25,2026-07-21T06:55:21,superseded debug output,hash config and MAT if retained,legacy
fastmri-debug-output-axisadapter,server-main,debug-output,fastmri-axis-adapter-debug,/home/students/studxuzho1/NV-Raw2insights-MRI/output/FastMRIBrainMulticoilValGeomFixAxisAdapterDebugAcc8,fastMRI final axis-adapter debug output,,2,0,6590643,2026-07-21T07:21:39,2026-07-21T07:25:09,superseded by formal val10 runs,hash config and MAT if retained,legacy
cine-gt-figs,server-main,visualization,cine-active-gt,/home/students/studxuzho1/NV-Raw2insights-MRI/output/GT_from_dImgC_figs,CINE dImgC GT static previews,10,10,0,73981499,2026-07-12T06:52:16,2026-07-12T06:57:53,10 PNG generated successfully,directory SHA256 manifest on archive,completed
cine-gt-gifs,server-main,visualization,cine-active-gt,/home/students/studxuzho1/NV-Raw2insights-MRI/output/GT_from_dImgC_gifs,CINE dImgC GT animations,10,10,0,7354524,2026-07-12T07:21:25,2026-07-12T07:21:40,10 GIF generated successfully,directory SHA256 manifest on archive,completed
output-small-archiv,server-main,legacy-output,legacy-output-mix,/home/students/studxuzho1/NV-Raw2insights-MRI/output/archiv,Small historical output mix,,37,0,32333810,2026-07-12T07:26:22,2026-07-15T22:52:09,historical mixed output,hash all files before consolidation,legacy
public-example-output,server-main,example-output,public-example-base,/home/students/studxuzho1/NV-Raw2insights-MRI/outputs/example_output_base,Public example base-model output,1,3,0,4963296,2026-08-06T14:33:43,2026-08-06T14:55:05,one MAT one PNG and config complete,hash all three files,completed
forcefill-qualitative-result,server-main,legacy-visualization,cine-forcefill-qualitative,/home/students/studxuzho1/NV-Raw2insights-MRI/result,Older force-fill qualitative PNG tree,,80,0,18543964,2026-07-16T08:26:32,2026-07-16T08:29:57,superseded by structured Results/forcefill_masks,directory SHA256 manifest before cleanup review,legacy
cine-raw-vista-results,server-main,results,cine-raw-vista-review,/home/students/studxuzho1/NV-Raw2insights-MRI/Results/raw_vista,CINE raw VISTA evaluation review,,18,0,7186892,2026-07-15T15:56:07,2026-07-15T15:56:18,2 CSV and 16 PNG complete,hash CSV and directory manifest,completed
cine-forcefill-results,server-main,results,cine-forcefill-review,/home/students/studxuzho1/NV-Raw2insights-MRI/Results/forcefill_masks,CINE forced-ACS evaluation review,,20,0,7696953,2026-07-16T08:47:36,2026-07-16T21:53:07,2 CSV and 18 PNG complete,hash CSV and directory manifest,completed
fastmri-debug-results-geomfix,server-main,legacy-results,fastmri-geometry-debug,/home/students/studxuzho1/NV-Raw2insights-MRI/Results/FastMRIBrainMulticoilValGeomFixDebugAcc8,Evaluation for early geometry debug,,6,0,7122985,2026-07-20T16:10:18,2026-07-20T16:10:23,superseded diagnostic result,hash summary files if retained,legacy
fastmri-debug-results-slicewindow,server-main,legacy-results,fastmri-slice-window-debug,/home/students/studxuzho1/NV-Raw2insights-MRI/Results/FastMRIBrainMulticoilValGeomFixSliceWindowDebugAcc8,Evaluation for slice-window debug,,6,0,7053149,2026-07-20T18:55:17,2026-07-20T18:55:22,superseded diagnostic result,hash summary files if retained,legacy
fastmri-debug-results-harddc,server-main,legacy-results,fastmri-harddc-debug,/home/students/studxuzho1/NV-Raw2insights-MRI/Results/FastMRIBrainMulticoilValGeomFixSliceWindowHardDCDebugAcc8,Evaluation for hard-DC debug,,6,0,7046521,2026-07-21T07:03:32,2026-07-21T07:03:37,superseded diagnostic result,hash summary files if retained,legacy
fastmri-debug-results-axisadapter,server-main,legacy-results,fastmri-axis-adapter-debug,/home/students/studxuzho1/NV-Raw2insights-MRI/Results/FastMRIBrainMulticoilValGeomFixAxisAdapterDebugAcc8,Evaluation for final axis-adapter debug,,6,0,6813819,2026-07-21T07:29:32,2026-07-21T07:29:37,superseded by formal val10 results,hash summary files if retained,legacy
cmrx23-singlecase-results,server-main,legacy-results,cmrx23-p001-lax-acc8,/home/students/studxuzho1/NV-Raw2insights-MRI/ResultsCMRxRecon2023CINELAXAcc8,One-case CMRxRecon2023 compatibility result,1,5,0,12510610,2026-07-16T08:43:21,2026-07-16T08:43:23,superseded by LAX10 formal result,hash all files if retained,legacy
hf-blob-base-explicit,server-home,checkpoint-blob,nv-base,/home/students/studxuzho1/hf_cache/hub/models--nvidia--NV-Raw2insights-MRI/blobs/667189bac5f159e52b2f1640b504b4efd549717c37720c2397e749d16ec056b8,Canonical Base checkpoint blob,,1,0,3038170078,2026-06-03T07:20:03,2026-06-03T07:20:03,required by current Base runs,verify full blob SHA256,active
hf-blob-small-explicit,server-home,checkpoint-blob,nv-small,/home/students/studxuzho1/hf_cache/hub/models--nvidia--NV-Raw2insights-MRI/blobs/8ba66defef7c66738c1eac25f2ea6a5d164fb9e547c36d90b469d8d5287ed624,Unique Small checkpoint blob,,1,0,911518382,2026-08-20T01:33:42,2026-08-20T01:33:42,required for Small experiments,verify full blob SHA256,active
hf-blob-base-default-duplicate,server-home,checkpoint-blob,nv-base,/home/students/studxuzho1/.cache/huggingface/hub/models--nvidia--NV-Raw2insights-MRI/blobs/667189bac5f159e52b2f1640b504b4efd549717c37720c2397e749d16ec056b8,Second Base checkpoint blob with identical blob ID and size,,1,0,3038170078,2026-05-20T21:50:10,2026-05-20T21:50:10,duplicate evidence recorded; references not yet migrated,verify hash and cache references before any removal,duplicate-candidate
hf-blob-large-default,server-home,checkpoint-blob,nv-large,/home/students/studxuzho1/.cache/huggingface/hub/models--nvidia--NV-Raw2insights-MRI/blobs/0a1d06d74dcd3dbd0c3692edc203527370a796fbb6f61be4c58bdcbcb817c54b,Unique Large checkpoint blob,,1,0,5738819266,2026-05-20T22:03:35,2026-05-20T22:03:35,only known Large checkpoint copy,verify full blob SHA256 and migrate to canonical cache,active
